# snapshot of SPY daily bars taken on 2026-09-20 from Yahoo Finance, split and dividend adjusted. The file starts on 2024-06-03 so the 20-day lookback is warm before the test window opens on 2024-09-03.
Date,Open,High,Low,Close
2024-10-25,568.393014,571.276484,565.040391,565.978699
2024-10-28,569.438919,569.565992,567.425389,567.728394
2024-10-29,566.770483,569.761457,565.38253,568.647217
2024-10-30,568.177976,570.162215,566.22309,566.92688
2024-10-31,562.577245,562.645673,555.617854,555.813354
2024-11-01,558.432831,562.567397,557.748609,558.159119
2024-11-04,558.296063,559.586295,555.080296,556.95697
2024-11-05,557.865945,563.730605,557.650936,563.691528
2024-11-06,575.909546,578.577947,572.18549,577.708008
2024-11-07,579.702026,583.191506,579.623814,582.174927
2024-11-08,582.722323,586.114082,582.722323,584.696777
2024-11-11,586.28021,586.632075,583.533597,585.253906
2024-11-12,585.17567,585.771896,580.962892,583.435852
2024-11-13,583.895232,585.713262,581.53962,583.719299
2024-11-14,583.8463,584.325238,579.281658,579.96582
2024-11-15,576.417836,576.887049,570.690032,572.537415
2024-11-18,572.996783,576.193041,572.136687,574.883301
2024-11-19,571.520867,577.70804,570.856213,576.984741
2024-11-20,577.062887,577.463613,571.442589,577.180176
2024-11-21,580.014756,581.69593,574.198958,580.278625
2024-11-22,580.268904,582.702787,579.770458,582.077209
2024-11-25,585.996799,587.30654,581.774237,584.051697
2024-11-26,585.292952,587.765912,584.579437,587.101257
2024-11-27,586.915503,587.29666,583.807241,585.322266
2024-11-29,586.13367,589.740439,585.860017,588.958496
2024-12-02,589.368831,590.688415,588.88011,590.013977
2024-12-03,589.779551,590.532142,588.753247,590.287781
2024-12-04,591.968885,594.197425,591.304231,593.953064
2024-12-05,593.95309,594.754601,592.623782,592.975647
2024-12-06,593.738082,595.331319,593.327573,594.099731
2024-12-09,593.982519,594.148668,590.453963,591.040405
2024-12-10,591.714734,592.135027,588.547828,589.202698
2024-12-11,592.115532,594.705721,591.841819,593.757629
2024-12-12,592.897551,593.464425,590.698303,590.698303
2024-12-13,592.721535,593.43505,589.212488,590.580933
2024-12-16,592.330624,594.070502,591.558466,593.102783
2024-12-17,590.561337,591.519212,589.290673,590.659058
2024-12-18,590.356117,592.731296,572.674203,573.05542
2024-12-19,578.020878,579.623899,572.635156,572.879517
2024-12-20,570.560975,584.271601,569.717499,579.760254
2024-12-23,579.505283,583.830288,576.337475,583.232056
2024-12-24,584.575691,589.753989,583.997032,589.714722
2024-12-26,587.949392,590.871957,586.556768,589.753967
2024-12-27,586.027122,586.262548,579.377784,583.545898
2024-12-30,576.563059,580.338857,573.150068,576.886658
2024-12-31,578.544128,579.260104,573.159914,574.787964
2025-01-02,578.034152,579.740618,569.315423,573.375671
2025-01-03,576.210038,581.182301,575.131196,580.544861
2025-01-06,584.781661,588.145568,582.163061,583.88916
2025-01-07,585.909501,586.23316,575.474547,577.288879
2025-01-08,577.357567,579.20135,573.925001,578.132324
2025-01-10,574.591829,574.660488,567.40304,569.305664
2025-01-13,564.67658,570.541343,564.264629,570.188293
2025-01-14,573.101074,573.728757,567.20686,570.9729
2025-01-15,578.956079,582.496511,577.847846,581.358887
2025-01-16,582.722129,582.898654,579.544564,580.240906
2025-01-17,585.458357,587.81208,584.134331,586.066406
2025-01-21,589.09682,591.440786,587.135354,591.430969
2025-01-22,594.245676,596.109092,593.696468,594.755676
2025-01-23,594.127985,598.001892,593.853411,598.001892
2025-01-24,598.060801,599.012143,595.108785,596.256226
2025-01-27,583.34976,588.135741,583.183052,587.821899
2025-01-28,589.047798,593.70628,585.742733,592.872681
2025-01-29,592.088017,592.490151,587.674719,590.214844
2025-01-30,592.323481,594.91257,589.145856,593.382629
2025-01-31,595.795226,598.20785,589.469487,590.22467
2025-02-03,581.250973,588.724153,579.112982,586.252747
2025-02-04,586.311639,590.695487,585.772248,590.185547
2025-02-05,589.06751,592.725625,587.047202,592.578491
2025-02-06,594.314342,594.765501,591.019094,594.638
2025-02-07,595.197089,596.413188,588.488848,589.195007
2025-02-10,592.392141,593.833789,591.126957,593.196289
2025-02-11,590.940628,594.186852,590.822945,593.647461
2025-02-12,587.655163,592.90206,586.978455,591.734985
2025-02-13,592.833452,598.188275,591.578145,597.9823
2025-02-14,598.188186,599.217944,597.334953,597.95282
2025-02-18,599.110141,599.708374,596.658309,599.708374
2025-02-19,598.325601,601.414874,597.815601,601.120667
2025-02-20,599.757436,599.894753,595.324564,598.619812
2025-02-21,598.404044,598.541361,587.920006,588.380981
2025-02-24,590.420814,591.411364,584.997332,585.703491
2025-02-25,585.644677,586.370409,578.200888,582.79071
2025-02-26,584.448133,588.027832,580.456543,583.0849
2025-02-27,585.350407,586.497908,573.385514,573.777771
2025-02-28,574.27802,583.261508,571.218138,582.731934
2025-03-03,584.693267,585.830951,568.726969,572.5224
2025-03-04,568.540669,574.111224,561.22438,565.745544
2025-03-05,565.578908,573.611113,562.038476,571.826172
2025-03-06,564.392126,568.991766,559.135413,561.675537
2025-03-07,559.900431,566.265378,554.73195,564.823669
2025-03-10,556.654244,558.566626,544.885449,549.779297
2025-03-11,548.621975,553.152956,541.384162,545.208984
2025-03-12,551.338641,552.260532,543.022044,548.102234
2025-03-13,547.729628,548.337677,539.089371,540.795837
2025-03-14,545.395386,552.966675,540.864404,551.966309
2025-03-17,551.946616,558.73333,551.515091,556.222656
2025-03-18,553.917893,554.133686,548.288496,550.210754
2025-03-19,551.985864,559.949409,550.808972,556.203003
2025-03-20,552.476369,559.576867,551.760394,554.594727
2025-03-21,550.154325,555.672773,548.924721,554.777588
2025-03-24,561.486441,565.7655,560.896255,564.712952
2025-03-25,565.912951,567.004825,564.329235,566.070374
2025-03-26,565.804786,566.926199,557.935319,559.3125
2025-03-27,557.925432,561.584764,555.721991,557.827087
2025-03-28,556.302454,557.03037,546.013105,546.593445
2025-03-31,540.858564,551.561042,537.94684,550.262573
2025-04-01,548.354248,553.75466,544.645743,551.816772
2025-04-02,545.993327,558.161483,545.757253,555.308838
2025-04-03,536.21556,539.028879,527.94281,527.94281
2025-04-04,515.12538,517.289496,496.81905,497.035461
2025-04-07,481.207996,514.633533,473.938563,496.150146
2025-04-08,513.344882,516.413968,481.17846,488.379028
2025-04-09,485.388642,539.668274,485.004991,539.668274
2025-04-10,523.486629,524.794944,501.009494,516.020508
2025-04-11,514.476134,527.677145,511.584103,525.227783
2025-04-14,535.172854,535.399142,525.14912,530.323303
2025-04-15,530.864214,534.366124,528.050895,528.83783
2025-04-16,523.004616,529.11331,511.800451,517.082825
2025-04-17,519.030589,522.502959,515.36141,517.820618
2025-04-21,512.65633,513.187558,500.163571,505.495148
2025-04-22,511.652999,520.663511,510.718488,518.646973
2025-04-23,531.611856,536.530271,525.168743,526.683594
2025-04-24,527.962483,538.497752,526.713246,537.769836
2025-04-25,537.730387,542.058557,534.818664,541.655273
2025-04-28,542.393105,544.517834,536.127048,541.861877
2025-04-29,539.953509,546.386835,539.599397,545.275269
2025-04-30,538.635395,547.439372,532.684124,545.491638
2025-05-01,551.226444,554.866083,548.75739,549.357422
2025-05-02,555.515423,559.105891,553.203792,557.512329
2025-05-05,553.390643,557.404087,552.534843,554.315308
2025-05-06,548.826268,554.157814,547.872125,549.682068
2025-05-07,551.010152,554.620253,546.967169,551.993835
2025-05-08,556.017144,561.004425,552.534926,555.840088
2025-05-09,557.236872,558.240249,553.5776,555.131836
2025-05-12,571.98226,573.487324,567.624551,573.477478
2025-05-13,573.890562,579.468089,573.329916,577.264648
2025-05-14,578.218884,579.369777,575.985904,578.002502
2025-05-15,576.005551,581.327251,575.553035,580.825623
2025-05-16,581.6027,584.799671,579.664873,584.504578
2025-05-19,578.50412,585.822726,578.50412,585.143982
2025-05-20,583.412709,584.357007,579.979604,583.176575
2025-05-21,578.838456,582.910918,572.326479,573.349487
2025-05-22,573.15283,577.048237,571.923226,573.575867
2025-05-23,566.581773,572.316662,566.207968,569.660706
2025-05-27,576.507206,581.661696,568.991852,581.504333
2025-05-28,581.907599,583.097877,577.41216,578.140076
2025-05-29,583.383137,583.520867,576.507201,580.422241
2025-05-30,579.320494,581.484609,573.723335,579.77301
2025-06-02,578.169636,583.117531,575.513679,583.038879
2025-06-03,582.674957,587.337606,582.192902,586.36377
2025-06-04,587.219582,588.193419,585.773537,586.20636
2025-06-05,587.878515,589.226156,581.405864,583.37323
2025-06-06,588.891805,591.026441,587.121187,589.364014
2025-06-09,589.934467,591.439531,588.724556,589.895142
2025-06-10,590.426305,593.623276,589.314799,593.239685
2025-06-11,594.331509,595.187308,589.491804,591.547668
2025-06-12,590.219838,593.898804,589.737842,593.898804
2025-06-13,588.734375,592.029689,585.763632,587.25885
2025-06-16,590.603486,594.587391,590.42637,592.846252
2025-06-17,590.416537,591.931388,587.022818,587.780273
2025-06-18,588.675334,591.409941,586.737447,587.69165
2025-06-20,590.356462,591.421998,584.91046,586.311462
2025-06-23,587.061195,592.487447,583.953469,592.102722
2025-06-24,596.226638,599.699398,595.318931,598.643799
2025-06-25,599.758633,600.449259,597.420417,598.979248
2025-06-26,600.824201,604.099691,600.212519,603.665588
2025-06-27,604.661985,608.12493,602.639485,606.664734
2025-06-30,609.1017,610.916994,606.79305,609.565369
2025-07-01,608.095362,610.532273,607.266659,609.368103
2025-07-02,608.963635,612.170057,608.342078,612.130615
2025-07-03,614.103815,617.882476,614.084063,616.955078
2025-07-07,615.001479,615.662539,609.585103,612.357422
2025-07-08,613.018379,613.768198,611.212961,612.021973
2025-07-09,614.419397,616.343201,612.584291,615.692078
2025-07-10,615.830255,618.464437,614.656209,617.428528
2025-07-11,614.389912,616.481481,613.196175,615.258118
2025-07-14,614.804107,616.77729,613.462358,616.432007
2025-07-15,619.105717,619.441124,613.718907,613.797852
2025-07-16,615.376431,616.353147,609.762724,615.849976
2025-07-17,616.027567,619.973932,615.810486,619.618713
2025-07-18,620.861825,621.029529,618.05994,619.164917
2025-07-21,620.338928,623.071745,619.914701,620.338928
2025-07-22,620.664507,621.286064,617.793553,620.427734
2025-07-23,623.081688,625.706055,621.286085,625.706055
2025-07-24,626.090848,627.620113,625.489042,625.913269
2025-07-25,626.574253,629.030856,626.327605,628.557251
2025-07-28,628.932213,629.484701,627.018223,628.399475
2025-07-29,629.790538,630.106254,625.834357,626.742004
2025-07-30,627.393082,629.129493,623.071808,625.952698
2025-07-31,630.885601,631.270326,622.312121,623.604553
2025-08-01,617.902027,617.941529,610.986014,613.383423
2025-08-04,617.280535,622.756105,617.191776,622.706787
2025-08-05,623.318468,624.127481,618.63216,619.549683
2025-08-06,620.61514,624.94629,619.707493,624.295166
2025-08-07,627.708767,628.438835,620.674367,623.772278
2025-08-08,625.55807,629.09996,625.242354,628.63623
2025-08-11,628.912455,630.382467,626.149952,627.393066
2025-08-12,629.731301,634.230155,628.251414,634.072327
2025-08-13,636.26255,637.525415,634.062471,636.242859
2025-08-14,634.170931,636.963001,633.727013,636.302002
2025-08-15,637.328051,637.426747,633.904609,634.812256
2025-08-18,634.240031,635.364759,633.569156,634.674133
2025-08-19,634.496449,635.473165,629.918652,631.230835
2025-08-20,630.826452,631.082915,624.462927,629.553711
2025-08-21,627.748329,629.41561,625.311417,627.028076
2025-08-22,629.208414,637.831211,628.705243,636.657166
2025-08-25,635.404241,636.63748,633.7369,633.855286
2025-08-26,633.588945,636.854559,632.967387,636.509216
2025-08-27,635.927097,638.689541,635.779084,637.959473
2025-08-28,638.561284,640.771239,636.686797,640.21875
2025-08-29,638.788169,639.153263,634.516272,636.400635
2025-09-02,628.951937,631.901836,626.406515,631.684814
2025-09-03,634.052556,635.571945,631.872227,635.108215
2025-09-04,635.779147,640.445764,634.881375,640.416138
2025-09-05,642.744478,643.46473,634.703795,638.56134
2025-09-08,639.922799,641.126472,638.551423,640.130005
2025-09-09,640.268054,642.132725,638.541519,641.609863
2025-09-10,644.855728,645.77325,641.90583,643.464661
2025-09-11,645.408199,649.502577,644.826144,648.811951
2025-09-12,648.782303,650.272066,648.091738,648.594849
2025-09-15,650.795105,652.176296,650.499139,652.048035
2025-09-16,652.600407,652.906308,650.370761,651.150146
2025-09-17,651.160135,652.847168,645.526677,650.341248
2025-09-18,653.014849,655.974622,651.416576,653.379883
2025-09-19,655.260655,657.456931,653.321554,656.616028
2025-09-22,655.132045,660.167683,655.102336,659.722534
2025-09-23,659.603772,660.21721,654.914374,656.131287
2025-09-24,657.417277,657.516185,652.628911,654.04364
2025-09-25,650.917495,652.371776,647.425143,651.026306
2025-09-26,652.470762,655.300221,650.858154,654.756104
2025-09-29,657.268987,658.179211,654.795671,656.596252
2025-09-30,655.854147,659.534473,654.548229,659.069458
2025-10-01,656.091695,662.225532,655.982884,661.315369
2025-10-02,663.293878,663.412592,659.663067,662.076965
2025-10-03,662.838904,665.500195,661.02842,662.067261
2025-10-06,664.451492,665.332007,662.314574,664.441589
2025-10-07,665.361629,665.806838,660.543614,661.978149
2025-10-08,663.096078,666.024506,662.27492,665.925537
2025-10-09,666.341097,666.746695,662.0672,663.996338
