# snapshot of daily closes taken on 2026-09-20 from Yahoo Finance, split and dividend adjusted, covering 2024-09-20 to 2026-09-18. Five hundred rows give the 499 daily returns the book reports.
Date,AAPL,MSFT,JPM,XOM,JNJ
2025-11-13,272.209076,499.182861,305.146942,115.444122,190.946869
2025-11-14,271.670532,506.016663,299.3591,116.944031,191.611877
2025-11-17,266.733948,503.348572,296.164459,115.365692,195.181442
2025-11-18,266.71402,489.760437,295.217896,116.68914,195.592178
2025-11-19,267.830963,483.144836,299.023865,115.042183,198.04686
2025-11-20,265.527252,475.41391,294.202332,114.718666,198.594513
2025-11-21,270.753021,469.143646,293.847351,114.777489,199.406219
2025-11-24,275.171021,471.011841,293.827667,113.689323,201.50885
2025-11-25,276.21814,473.982941,298.757629,112.258026,203.398468
2025-11-26,276.79657,482.439301,303.332703,112.512917,204.274368
2025-11-28,278.093018,488.908295,308.696533,113.640297,203.644501
2025-12-01,282.331482,483.671478,304.594788,114.336342,202.089493
2025-12-02,285.413116,486.91095,303.569336,113.110924,202.168259
2025-12-03,283.378662,474.718292,307.759827,115.48333,202.079666
2025-12-04,279.938049,477.808685,311.674255,114.836304,199.27478
2025-12-05,278.023254,480.114075,310.629089,114.248116,198.733475
2025-12-08,277.135651,487.92453,310.796692,113.69912,198.428391
2025-12-09,276.427582,488.918182,296.302521,115.924484,196.794678
2025-12-10,278.023254,475.54306,305.768097,117.18911,203.270508
2025-12-11,277.275238,480.422119,312.93631,117.18911,206.685577
2025-12-12,277.524597,475.513245,314.060333,116.483269,208.230743
2025-12-15,273.365875,471.82666,315.539368,115.444122,210.779724
2025-12-16,273.864532,473.38678,311.131897,112.42469,205.986816
2025-12-17,271.102051,473.118439,310.569946,115.101013,207.000519
2025-12-18,271.451111,480.928894,308.617645,114.248116,205.012497
2025-12-19,272.927124,482.856659,312.768677,114.395164,203.10321
2025-12-22,270.234467,481.863007,318.566345,115.826454,204.038177
2025-12-23,271.620667,483.780823,321.366608,117.071472,202.522537
2025-12-24,273.066742,484.94342,324.561249,116.875404,204.490891
2025-12-26,272.657806,484.635406,323.318878,116.76757,204.343277
2025-12-29,273.016876,484.029236,319.217133,118.159645,204.274368
2025-12-30,272.338684,484.40686,318.891754,118.610596,203.634659
2025-12-31,271.122009,480.571167,317.708557,117.973381,203.674026
2026-01-02,270.274323,469.958496,320.922943,120.237961,204.067703
2026-01-05,266.534515,469.86908,329.363068,122.894661,201.075806
2026-01-06,261.647797,475.493408,331.413269,118.669418,201.548203
2026-01-07,259.623291,480.422119,323.866089,116.15976,204.205475
2026-01-08,258.336853,475.095886,326.639343,120.492844,202.493011
2026-01-09,258.665924,476.258514,326.045074,122.159409,201.154556
2026-01-12,259.543518,474.171753,321.389954,121.590813,206.400192
2026-01-13,260.341339,467.70282,307.929779,124.051445,210.267975
2026-01-14,259.254333,456.484009,304.928741,127.639458,215.090393
2026-01-15,257.509064,453.781158,306.305481,126.590515,216.094269
2026-01-16,254.836349,456.960968,309.484802,127.335564,215.198654
2026-01-20,246.030319,451.654602,299.847748,127.894371,214.755783
2026-01-21,246.977753,441.310211,299.15448,130.982422,214.558945
2026-01-22,247.675842,448.295929,300.729248,131.011826,215.031342
2026-01-23,247.366684,463.012573,294.875702,132.315659,216.655212
2026-01-26,254.716675,467.315247,298.164001,132.188202,217.983871
